Name,Country,Gender,Division,Swim,Bike,Run,Overall
"Ching, Daniel",CRI,Male,M25-29,69.85,311.96666666666664,265.93333333333334,658.4833333333333
"McCarthy, Thomas",USA,Male,M35-39,60.916666666666664,341.6,244.48333333333332,658.5666666666667
"Wirth, Thomas",USA,Male,M40-44,73.3,306.76666666666665,260.5,658.6833333333333
"Villalba, Cesar",ESP,Male,M30-34,60.833333333333336,289.81666666666666,298.76666666666665,658.7666666666667
"Johnson, Tiffany",USA,Female,F35-39,64.16666666666667,323.65,259.46666666666664,658.9833333333333
"Nelson, John",USA,Male,M50-54,74.71666666666667,319.6,254.23333333333332,659.1
"Magda, Cody",USA,Male,M18-24,59.03333333333333,311.71666666666664,277.05,659.3166666666667
"McLaughlin, Jamie",USA,Male,M40-44,80.41666666666667,317.6166666666667,246.2,659.5333333333333
"Van Dongen, Daniel",USA,Male,M35-39,76.48333333333333,334.6666666666667,232.46666666666667,659.55
"Martinez, Cesar",ESP,Male,M40-44,82.5,326.8666666666667,238.33333333333334,659.7333333333333
"O'Daly, Jose",VEN,Male,M35-39,62.61666666666667,336.73333333333335,246.98333333333332,660.2
"McKinnon, Mike",CAN,Male,M35-39,70.95,305.0833333333333,265.78333333333336,660.65
"Gazolla, Felipe",BRA,Male,M30-34,69.3,323.8,255.66666666666666,661.0333333333333
"Howell, Gavin",USA,Male,M30-34,64.45,326.21666666666664,253.41666666666666,661.3333333333334
"Upchurch, Thomas",GBR,Male,M35-39,66.6,294.3,288.9,661.4333333333333
"Zelinski, Ryan",USA,Male,M25-29,76.01666666666667,313.75,264.0833333333333,661.7
"Gennari, Maria",BRA,Female,F35-39,75.21666666666667,329.2,247.4,661.9333333333333
"Lee, Rachel",USA,Female,F45-49,75.11666666666666,302.3333333333333,274.1666666666667,662.25
"Black, Larry",USA,Male,M55-59,57.7,311.6333333333333,283.18333333333334,662.25
"Diplan, Marino",DOM,Male,M45-49,77.15,312.35,261.71666666666664,662.2666666666667
"Pianto, Jerry",USA,Male,M45-49,64.68333333333334,314.01666666666665,273.1166666666667,662.9666666666667
"Daggett, Julia",USA,Female,F55-59,73.01666666666667,331.4,248.4,663.5166666666667
"Hunter, Tyler",USA,Male,M18-24,65.4,315.15,268.18333333333334,663.5333333333333
"Herrera, Adolph",USA,Male,M45-49,58.95,311.6666666666667,280.73333333333335,663.6166666666667
"Patey, Paxton",USA,Male,M18-24,81.28333333333333,335.2,232.4,663.6666666666666
"Rojas, Santiago",CAN,Male,M35-39,69.13333333333334,325.56666666666666,257.8666666666667,663.75
"Kinneman, Tom",USA,Male,M65-69,70.95,345.95,231.66666666666666,664.6833333333333
"O'Gorman, Bob",USA,Male,M45-49,84.46666666666667,288.21666666666664,275.6333333333333,665.1833333333333
"Lush, Richard",USA,Male,M50-54,65.05,323.06666666666666,261.8,665.2833333333333
"Sass, Kirsten",USA,Female,F35-39,65.58333333333333,330.51666666666665,261.96666666666664,665.5
"Mitten, David",USA,Male,M50-54,69.16666666666667,304.71666666666664,282.05,666.3333333333334
"Pavon, Jaime",ECU,Male,M40-44,64.3,315.43333333333334,274.8666666666667,666.4166666666666
"Johnson, Jonas",USA,Male,M35-39,66.98333333333333,315.31666666666666,269.7,667.05
"Houtman, Gijs",NLD,Male,M35-39,69.61666666666666,309.46666666666664,277.9166666666667,667.6833333333333
"Hurd, Jeff",USA,Male,M45-49,74.86666666666666,329.98333333333335,250.53333333333333,668.0333333333333
"Herrera, Jose",VEN,Male,M30-34,66.13333333333334,315.8333333333333,276.98333333333335,668.2166666666667
"Lang, David",USA,Male,M40-44,59.833333333333336,327.43333333333334,269.65,668.9
"Bialy, Leor",ISR,Male,M18-24,71.51666666666667,335.25,250.06666666666666,668.9166666666666
"Fugate, Lynsey",USA,Female,F35-39,55.166666666666664,347.3833333333333,256.28333333333336,669.1
"Valk, Jan",USA,Male,M25-29,64.98333333333333,315.43333333333334,275.46666666666664,669.2833333333333
"Andreoli Henriquez, Cristian",CHL,Male,M30-34,71.08333333333333,290.3666666666667,298.0833333333333,669.7333333333333
"Mills, Liz",USA,Female,F25-29,78.06666666666666,338.98333333333335,238.85,669.8166666666667
"Krumbhaar, Peter",USA,Male,M30-34,69.55,331.3833333333333,256.05,669.9333333333333
"Loos, Cam",USA,Male,M45-49,58.93333333333333,309.9,292.7,670.7
"Karlsson, Steffen",DNK,Male,M25-29,61.28333333333333,299.96666666666664,298.73333333333335,670.9
"Dickens, Noel",USA,Male,M35-39,67.48333333333333,323.71666666666664,266.0833333333333,671.4333333333333
"Santillan, Maria Fernanda",ECU,Female,F30-34,62.516666666666666,345.6166666666667,254.91666666666666,671.5666666666667
"Adams, Jeff",USA,Male,M35-39,71.65,335.78333333333336,251.13333333333333,671.8666666666667
"O'Connor, Paul",IRL,Male,M50-54,74.28333333333333,296.46666666666664,287.7,671.9166666666666
"Kronberg Christensen, Mia",DNK,Female,F50-54,77.95,338.05,246.93333333333334,672.4333333333333
"Rechel, Margaret",USA,Female,F25-29,61.43333333333333,331.15,271.21666666666664,672.4833333333333
"Cheek, Mark",USA,Male,M50-54,70.51666666666667,343.3333333333333,248.83333333333334,672.8166666666667
"Ochoa, Yadira",MEX,Female,F35-39,81.33333333333333,330.85,251.01666666666668,672.9666666666667
"Tomaska, Milan",USA,Male,M40-44,72.96666666666667,308.51666666666665,283.6166666666667,673.3333333333334
"Jansik, Richard",USA,Male,M55-59,74.46666666666667,307.1,278.8833333333333,673.65
"Dallesandro, David",USA,Male,M25-29,65.55,296.5,296.3833333333333,673.9
"Giles, Kristen",CAN,Female,F40-44,66.48333333333333,337.15,258.46666666666664,674.1
"Rojas Sanhueza, Hector",CHL,Male,M35-39,72.9,315.68333333333334,273.31666666666666,674.2666666666667
"Tougas, Jean-Sebastien",CAN,Male,M40-44,78.78333333333333,311.65,265.46666666666664,674.2833333333333
"Dambrosio, Leonardo",VEN,Male,M40-44,69.78333333333333,328.23333333333335,261.25,674.5
"Phipps, Helen",USA,Female,F40-44,67.8,345.96666666666664,250.76666666666668,674.6166666666667
"Thomas, Kelly",USA,Female,F25-29,59.9,353.46666666666664,250.85,674.65
"Irgens, Ole Jacob",NOR,Male,M45-49,60.18333333333333,327.8333333333333,274.55,674.75
"Dyke, Ryan",USA,Male,M25-29,68.9,296.3333333333333,296.15,675.1666666666666
"Andrade, Juan",COL,Male,M45-49,80.66666666666667,310.48333333333335,265.3333333333333,675.3
"Calver, Scott",CAN,Male,M45-49,79.9,320.23333333333335,260.25,675.4333333333333
"Jackson, Christopher",USA,Male,M40-44,65.81666666666666,316.7,282.1166666666667,675.9333333333333
"Parulan, Jeff",PHL,Male,M40-44,91.26666666666667,330.6166666666667,243.9,676.1166666666667
"Goodson, Grant",USA,Male,M35-39,66.75,318.1666666666667,276.31666666666666,676.4166666666666
"Minert, Scott",USA,Male,M45-49,71.93333333333334,303.93333333333334,287.31666666666666,676.7166666666667
"Rodriguez, Flavio",MEX,Male,M35-39,77.21666666666667,323.7,261.7,676.9
"Sophiea, Laura",USA,Female,F60-64,71.46666666666667,322.21666666666664,270.85,676.9166666666666
"Berg, Kevin",USA,Male,M60-64,64.7,334.7,266.6,677.3333333333334
"Rubens, Sue",USA,Female,F50-54,79.33333333333333,328.75,258.05,677.35
"Spence, Benjamin",USA,Male,M35-39,58.88333333333333,329.65,276.18333333333334,677.4
"Marchant, Alan",USA,Male,M40-44,85.11666666666666,328.53333333333336,248.76666666666668,677.65
"Balcar, Brittany",USA,Female,F25-29,67.81666666666666,332.93333333333334,266,678.05
"Catapani, Luiz",BRA,Male,M35-39,68.78333333333333,342.6166666666667,254.36666666666667,678.5666666666667
"Martinez, Salvador",MEX,Male,M40-44,75.73333333333333,333.75,256.01666666666665,678.9666666666667
"Salgueiro, Jullian",BRA,Male,M40-44,63.733333333333334,338.53333333333336,261.8833333333333,679
"Peterson, Mike",USA,Male,M40-44,68.36666666666666,334.35,259.01666666666665,679.0833333333334
"Weaver, Blake",USA,Male,M30-34,83.81666666666666,337.18333333333334,244.66666666666666,679.2833333333333
"Page, Matt",USA,Male,M30-34,75.88333333333334,327.25,261.53333333333336,679.4
"Braun, Joy",USA,Female,F40-44,74.23333333333333,356.31666666666666,239.96666666666667,679.7333333333333
"Duran, Chelsea",CAN,Female,F30-34,73.75,336.05,258.2,679.75
"Sheetz, Tara",USA,Female,F50-54,77.81666666666666,325.98333333333335,265.78333333333336,680.1666666666666
"Cleverdon, Dana",USA,Male,M45-49,75.9,338.18333333333334,255,680.4
"Burgans, Alex",USA,Male,M18-24,75.36666666666666,337.3,256.01666666666665,680.7666666666667
"Norman, Gail",USA,Female,F55-59,80.23333333333333,336.3333333333333,252.5,680.7833333333333
"Hughes, Donal",IRL,Male,M40-44,85.65,335.46666666666664,246.76666666666668,680.8833333333333
"Bartelt, Brad",USA,Male,M50-54,70.11666666666666,321.51666666666665,277.1666666666667,681.3333333333334
"Thomas, Dan",USA,Male,M55-59,66.01666666666667,325.06666666666666,281.48333333333335,681.5
"Monsivais, Jose",USA,Male,M35-39,92.9,328.1333333333333,244.05,681.5666666666667
"Crouch, Timothy",USA,Male,M55-59,65.45,314.9,287.45,682.0333333333333
"Sacco, Paul",USA,Male,M45-49,74.76666666666667,322.2,270.6666666666667,682.4
"Johnson, Sharon",USA,Female,F60-64,75.26666666666667,325.21666666666664,269.95,683.1166666666667
