Player,Season,TPM,TPA,TPP
Cory Alexander,1998,66,176,0.375
Dale Davis,1998,0,0,NA
Dale Ellis,1998,127,274,0.4635036496350365
Damon Stoudamire,1998,91,304,0.2993421052631579
Dan Majerle,1998,111,295,0.376271186440678
Dana Barros,1998,100,246,0.4065040650406504
Danny Ferry,1998,33,99,0.3333333333333333
Danny Fortson,1998,1,3,0.3333333333333333
Danny Manning,1998,0,7,0
Danny Schayes,1998,0,0,NA
Darrell Armstrong,1998,25,68,0.36764705882352944
Darrick Martin,1998,107,293,0.3651877133105802
Darvin Ham,1998,0,0,NA
David Benoit,1998,55,170,0.3235294117647059
David Robinson*,1998,1,4,0.25
David Vaughn,1998,0,1,0
David Wesley,1998,59,170,0.34705882352941175
David Wingate,1998,3,7,0.42857142857142855
DeJuan Wheat,1998,8,17,0.47058823529411764
Dean Garrett,1998,0,0,NA
Dee Brown,1998,108,271,0.3985239852398524
Dell Curry,1998,61,145,0.4206896551724138
Dennis Rodman*,1998,4,23,0.17391304347826086
Dennis Scott,1998,125,342,0.3654970760233918
Derek Anderson,1998,17,84,0.20238095238095238
Derek Fisher,1998,31,81,0.38271604938271603
Derek Grimm,1998,4,12,0.3333333333333333
Derek Harper,1998,59,164,0.3597560975609756
Derek Strong,1998,0,4,0
Derrick Coleman,1998,26,98,0.2653061224489796
Derrick McKey,1998,4,17,0.23529411764705882
Detlef Schrempf,1998,61,147,0.41496598639455784
Dickey Simpkins,1998,0,2,0
Dikembe Mutombo*,1998,0,0,NA
Don MacLean,1998,1,2,0.5
Don Reid,1998,0,0,NA
Donald Royal,1998,0,0,NA
Donald Whiteside,1998,0,1,0
Dontae' Jones,1998,6,23,0.2608695652173913
Dontonio Wingfield,1998,0,0,NA
Donyell Marshall,1998,63,201,0.31343283582089554
Doug Christie,1998,100,307,0.3257328990228013
Doug Overton,1998,0,3,0
Doug West,1998,0,2,0
Drew Barry,1998,9,21,0.42857142857142855
Duane Causwell,1998,0,0,NA
Duane Ferrell,1998,0,6,0
Ed Gray,1998,18,46,0.391304347826087
Ed Stokes,1998,0,0,NA
Eddie Johnson,1998,66,198,0.3333333333333333
Eddie Jones,1998,143,368,0.38858695652173914
Elden Campbell,1998,1,2,0.5
Eldridge Recasner,1998,62,148,0.4189189189189189
Elliot Perry,1998,17,50,0.34
Emanual Davis,1998,27,72,0.375
Eric Montross,1998,0,0,NA
Eric Murdock,1998,28,91,0.3076923076923077
Eric Piatkowski,1998,106,259,0.4092664092664093
Eric Riley,1998,0,1,0
Eric Snow,1998,2,17,0.11764705882352941
Eric Washington,1998,44,137,0.32116788321167883
Eric Williams,1998,0,0,NA
Erick Dampier,1998,0,2,0
Erick Strickland,1998,48,163,0.294478527607362
Ervin Johnson,1998,0,0,NA
Etdrick Bohannon,1998,0,0,NA
Felton Spencer,1998,0,0,NA
Fred Hoiberg,1998,32,85,0.3764705882352941
Gary Grant,1998,7,19,0.3684210526315789
Gary Payton*,1998,134,397,0.33753148614609574
Gary Trent,1998,4,12,0.3333333333333333
George Lynch,1998,9,30,0.3
George McCloud,1998,71,208,0.34134615384615385
George Zidek,1998,1,2,0.5
Gerald Madkins,1998,6,15,0.4
Gerald Wilkins,1998,29,109,0.26605504587155965
Glen Rice,1998,130,300,0.43333333333333335
Glenn Robinson,1998,25,65,0.38461538461538464
God Shammgod,1998,0,2,0
Grant Hill,1998,3,21,0.14285714285714285
Grant Long,1998,0,4,0
Greg Anderson,1998,0,5,0
Greg Anthony,1998,66,159,0.41509433962264153
Greg Foster,1998,2,9,0.2222222222222222
Greg Graham,1998,0,3,0
Greg Minor,1998,6,31,0.1935483870967742
Greg Ostertag,1998,0,0,NA
Hakeem Olajuwon*,1998,0,3,0
Harold Ellis,1998,0,4,0
Harvey Grant,1998,1,6,0.16666666666666666
Henry James,1998,11,25,0.44
Herb Williams,1998,0,0,NA
Hersey Hawkins,1998,125,301,0.4152823920265781
Horace Grant,1998,0,7,0
Horacio Llamas Grey,1998,1,3,0.3333333333333333
Hot Rod Williams,1998,0,0,NA
Howard Eisley,1998,48,118,0.4067796610169492
Hubert Davis,1998,101,230,0.4391304347826087
Isaac Austin,1998,0,8,0
Isaiah Rider,1998,135,420,0.32142857142857145
Ivano Newbill,1998,1,1,1
J.R. Reid,1998,3,8,0.375
Jack Haley,1998,0,1,0
Jacque Vaughn,1998,3,8,0.375
Jalen Rose,1998,25,73,0.3424657534246575
Jamal Mashburn,1998,37,122,0.30327868852459017
James Collins,1998,9,20,0.45
James Cotton,1998,0,4,0
James Robinson,1998,74,225,0.3288888888888889
Jamie Feick,1998,4,13,0.3076923076923077
Jaren Jackson,1998,112,297,0.3771043771043771
Jason Caffey,1998,0,2,0
Jason Kidd,1998,73,233,0.3133047210300429
Jason Lawson,1998,0,0,NA
Jayson Williams,1998,0,4,0
Jeff Grayer,1998,2,6,0.3333333333333333
Jeff Hornacek,1998,56,127,0.4409448818897638
Jeff Nordgaard,1998,0,0,NA
Jerald Honeycutt,1998,29,77,0.37662337662337664
Jermaine O'Neal,1998,0,2,0
Jerome Kersey,1998,1,10,0.1
Jerome Williams,1998,0,1,0
Jerry Stackhouse,1998,47,195,0.24102564102564103
Jim Jackson,1998,61,191,0.3193717277486911
Jim McIlvaine,1998,0,3,0
Jimmy Oliver,1998,1,2,0.5
Joe Dumars*,1998,158,426,0.37089201877934275
Joe Kleine,1998,0,0,NA
Joe Smith,1998,0,8,0
Joe Stephens,1998,3,10,0.3
Joe Wolf,1998,2,10,0.2
John Crotty,1998,6,20,0.3
John Starks,1998,130,398,0.32663316582914576
John Stockton*,1998,39,91,0.42857142857142855
John Thomas,1998,0,0,NA
John Wallace,1998,1,2,0.5
Johnny Newman,1998,36,105,0.34285714285714286
Johnny Taylor,1998,1,2,0.5
Jon Barry,1998,18,61,0.29508196721311475
Jud Buechler,1998,25,65,0.38461538461538464
Juwan Howard,1998,0,2,0
Karl Malone*,1998,2,6,0.3333333333333333
Kebu Stewart,1998,0,0,NA
Keith Askins,1998,21,74,0.28378378378378377
Keith Booth,1998,0,1,0
Keith Closs,1998,0,0,NA
Keith Van Horn,1998,69,224,0.3080357142857143
Kelvin Cato,1998,0,3,0
Kendall Gill,1998,26,101,0.25742574257425743
Kenny Anderson,1998,57,160,0.35625
Kerry Kittles,1998,110,263,0.41825095057034223
Kevin Edwards,1998,6,15,0.4
Kevin Garnett,1998,3,16,0.1875
Kevin Johnson,1998,4,26,0.15384615384615385
Kevin Ollie,1998,0,1,0
Kevin Salvadori,1998,0,0,NA
Kevin Willis,1998,1,7,0.14285714285714285
Khalid Reeves,1998,56,152,0.3684210526315789
Kiwane Garris,1998,5,14,0.35714285714285715
Kobe Bryant,1998,75,220,0.3409090909090909
Kurt Thomas,1998,0,0,NA
LaPhonso Ellis,1998,57,201,0.2835820895522388
Lamond Murray,1998,54,153,0.35294117647058826
Larry Johnson,1998,15,63,0.23809523809523808
Larry Robinson,1998,3,6,0.5
Latrell Sprewell,1998,9,48,0.1875
Lawrence Funderburke,1998,1,7,0.14285714285714285
Lawrence Moten,1998,0,1,0
Ledell Eackles,1998,16,46,0.34782608695652173
Lee Mayberry,1998,63,180,0.35
Lindsey Hunter,1998,85,265,0.32075471698113206
Litterial Green,1998,0,2,0
Lloyd Daniels,1998,2,9,0.2222222222222222
Lorenzen Wright,1998,0,2,0
Lorenzo Williams,1998,0,0,NA
Loy Vaught,1998,0,2,0
Luc Longley,1998,0,0,NA
Lucious Harris,1998,12,39,0.3076923076923077
Mahmoud Abdul-Rauf,1998,5,31,0.16129032258064516
Malik Rose,1998,1,3,0.3333333333333333
Malik Sealy,1998,9,41,0.21951219512195122
Marcus Camby,1998,0,2,0
Mario Bennett,1998,1,2,0.5
Mario Elie,1998,55,189,0.291005291005291
Mark Bryant,1998,0,1,0
Mark Davis,1998,0,6,0
Mark Hendrickson,1998,0,5,0
Mark Jackson,1998,43,137,0.31386861313868614
Mark Pope,1998,1,3,0.3333333333333333
Mark Price,1998,52,155,0.33548387096774196
Mark Strickland,1998,0,1,0
Mark West,1998,0,0,NA
Marko Milic,1998,3,6,0.5
Martin Muursepp,1998,16,38,0.42105263157894735
Marty Conlon,1998,0,0,NA
Matt Bullard,1998,96,231,0.4155844155844156
Matt Geiger,1998,1,11,0.09090909090909091
Matt Maloney,1998,126,346,0.36416184971098264
Maurice Taylor,1998,0,1,0
Michael Cage,1998,0,1,0
Michael Curry,1998,4,9,0.4444444444444444
Michael Finley,1998,87,244,0.35655737704918034
Michael Jordan*,1998,30,126,0.23809523809523808
Michael McDonald,1998,0,0,NA
Michael Smith,1998,0,1,0
Michael Stewart,1998,0,0,NA
Micheal Williams,1998,0,4,0
Mitch Richmond*,1998,130,334,0.38922155688622756
Mitchell Butler,1998,1,6,0.16666666666666666
Monty Williams,1998,1,2,0.5
Mookie Blaylock,1998,90,334,0.2694610778443114
Muggsy Bogues,1998,4,16,0.25
Nate McMillan,1998,15,34,0.4411764705882353
Nick Anderson,1998,77,214,0.3598130841121495
Nick Van Exel,1998,123,316,0.38924050632911394
Olden Polynice,1998,0,1,0
Oliver Miller,1998,0,4,0
Othella Harrington,1998,0,1,0
Otis Thorpe,1998,0,5,0
P.J. Brown,1998,0,0,NA
Patrick Ewing*,1998,0,2,0
Pervis Ellison,1998,0,0,NA
Pete Chilcutt,1998,54,130,0.4153846153846154
Pete Myers,1998,0,0,NA
Pooh Richardson,1998,11,57,0.19298245614035087
Popeye Jones,1998,2,3,0.6666666666666666
Priest Lauderdale,1998,0,0,NA
Randy Brown,1998,0,5,0
Randy Livingston,1998,0,0,NA
Rasheed Wallace,1998,8,39,0.20512820512820512
Ray Allen,1998,134,368,0.3641304347826087
Reggie Geary,1998,12,40,0.3
Reggie Hanson,1998,0,0,NA
Reggie Jordan,1998,0,1,0
Reggie Miller*,1998,164,382,0.4293193717277487
Reggie Slater,1998,0,0,NA
Rex Chapman,1998,120,311,0.3858520900321543
Rex Walters,1998,6,22,0.2727272727272727
Rick Brunson,1998,22,61,0.36065573770491804
Rick Fox,1998,86,265,0.32452830188679244
Rick Mahorn,1998,0,0,NA
Ricky Pierce,1998,4,13,0.3076923076923077
Rik Smits,1998,0,3,0
Robert Horry,1998,19,93,0.20430107526881722
Robert Pack,1998,3,6,0.5
Rod Strickland,1998,12,48,0.25
Rodney Rogers,1998,72,212,0.33962264150943394
Rodrick Rhodes,1998,2,8,0.25
Ron Harper,1998,16,84,0.19047619047619047
Ron Mercer,1998,3,28,0.10714285714285714
Rony Seikaly,1998,0,2,0
Roy Rogers,1998,0,0,NA
Rusty LaRue,1998,4,16,0.25
Sam Cassell,1998,15,80,0.1875
Sam Mack,1998,110,269,0.40892193308550184
Sam Mitchell,1998,15,43,0.3488372093023256
Sam Perkins,1998,87,222,0.3918918918918919
Samaki Walker,1998,0,1,0
Scot Pollard,1998,0,0,NA
Scott Brooks,1998,5,11,0.45454545454545453
Scott Burrell,1998,51,144,0.3541666666666667
Scott Williams,1998,0,5,0
Scottie Pippen*,1998,61,192,0.3177083333333333
Sean Elliott,1998,34,90,0.37777777777777777
Sean Higgins,1998,0,2,0
Sean Rooks,1998,0,0,NA
Shandon Anderson,1998,7,32,0.21875
Shaquille O'Neal*,1998,0,0,NA
Shareef Abdur-Rahim,1998,21,51,0.4117647058823529
Sharone Wright,1998,0,0,NA
